,Overseas ($mill)
0,0.03281833787741089
1,0.056952438654953044
2,0.06058770069675856
3,0.008179339594062404
4,0.04311824699585985
5,0.03993739270928001
6,0.019186105220640216
7,0.017570433202059983
8,0.056699989902049885
9,0.02832475007573463
10,0.02746642431586388
11,0.04140159547611835
12,0.03549429465818439
13,0.02282136726244572
14,0.03892759769766738
15,0.032717358376249624
16,0.07058467131172372
17,0.042259921235989095
18,0.04109865697263457
19,0.04614763203069777
20,0.03281833787741089
21,0.03509037665353933
22,0.034837927900636174
23,0.0
24,0.032464909623346465
25,0.062455821468241954
26,0.018580228213672625
27,0.028476219327476522
28,0.058012723417146334
29,0.02438654953044532
30,0.011814601635867922
31,0.05311521761082501
32,0.028223770574573363
33,0.02983944259315359
34,0.035393315157023125
35,0.048722609310310014
36,0.02494193678683227
37,0.04145208522669898
38,0.01989296172876906
39,0.047965263051600524
40,0.04655155003534282
41,0.030041401595476122
42,0.06619206301120872
43,0.06927193779662728
44,0.051550035342825415
45,0.06250631121882258
46,0.028981116833282847
47,0.04094718772089266
48,0.04806624255276179
49,0.042007472483085936
50,0.0226194082601232
51,0.03973543370695749
52,0.04584469352721397
53,0.0761890336261739
54,0.06886801979198223
55,0.011814601635867922
56,0.017620922952640616
57,0.03352519438553973
58,0.03963445420579623
59,0.06003231344037162
60,0.027012016560638195
61,0.052913258608502475
62,0.027365444814702614
63,0.06265778047056447
64,0.05392305362011511
65,0.05927496718166213
66,0.07457336160759366
67,0.06886801979198223
68,0.038018782187216
69,0.033323235383217215
70,0.021963041502574984
71,0.07548217711804504
72,0.020700797738059176
73,0.06275875997172574
74,0.017469453700898717
75,0.04715742704231042
76,0.02660809855599313
77,0.022165000504897503
78,0.032414419872765825
79,0.07881450065636676
80,0.035948702413410076
81,0.03589821266282945
82,0.030495809350701807
83,0.10007068565081288
84,0.04382510350398869
85,0.0350398869029587
86,0.028223770574573363
87,0.035948702413410076
88,0.05755831566192064
89,0.0578107644148238
90,0.03529233565586186
91,0.0435221650005049
92,0.017217004947995558
93,0.03670604867211956
94,0.047763304049278005
95,0.03488841765121681
96,0.024739977784509752
97,0.008027870342320512
98,0.05826517217004949
99,0.028476219327476522
100,0.054326971624760176
101,0.026961526810057555
102,0.05452893062708271
103,0.03357568413612037
104,0.022972836514187626
105,5.048975058063315e-05
106,0.023326264768252045
107,0.032212460870443306
108,0.06997879430475613
109,0.05856811067353328
110,0.0926991820660406
111,0.018428758961930733
112,0.07704735938604464
113,0.07179642532565889
114,0.04589518327779461
115,0.019438553973543375
116,0.07381601534888417
117,0.07583560537210947
118,0.029788952842572963
119,0.029334545087347272
120,0.0644249217408866
121,0.08290417045339796
122,0.019438553973543375
123,0.010299909118448955
124,0.05967888518630718
125,0.03584772291224882
126,0.05841664142179137
127,0.03155609411289509
128,0.027819852569928305
129,0.05023730182772898
130,0.06467737049378976
131,0.0378673129354741
132,0.04039180046450572
133,0.062859739472887
134,0.04958093507018076
135,0.0392810259517318
136,0.08270221145107542
137,0.03655457942037767
138,0.03145511461173382
139,0.045137837019085136
140,0.06013329294153287
141,0.0435221650005049
142,0.06841361203675654
143,0.03589821266282945
144,0.0961324851055236
145,0.05134807634050288
146,0.09628395435726547
147,0.07376552559830354
148,0.08820559426436433
149,0.08759971725739675
150,0.08426739371907503
151,0.055740684641017876
152,0.03100070685650813
153,0.03347470463495911
154,0.043219226497021104
155,0.07906694940926992
156,0.03549429465818439
157,0.07083712006462688
158,0.06477834999495102
159,0.03998788245986065
160,0.060537210946177936
161,0.095526608098556
162,0.04826820155508432
163,0.05967888518630718
164,0.06386953448449965
165,0.06750479652630516
166,0.09572856710087853
167,0.0447844087650207
168,0.04831869130566495
169,0.044380490760375646
170,0.03700898717560336
171,0.05760880541250127
172,0.008633747349288096
173,0.08855902251842877
174,0.028829647581540947
175,0.05563970513985661
176,0.038372210441280426
177,0.04680399878824598
178,0.06296071897404827
179,0.020498838735736644
180,0.05624558214682421
181,0.01231949914167424
182,0.053216197111986274
183,0.04342118549934364
184,0.05821468241946884
185,0.09295163081894375
186,0.041553064727860245
187,0.041250126224376446
188,0.05584166414217914
189,0.09663738261132991
190,0.07522972836514188
191,0.053620115116631326
192,0.003180854286579826
193,0.02983944259315359
194,0.04246188023831163
195,0.048015752802181164
196,0.023629203271735844
197,0.014642027668383323
198,0.09315358982126629
199,0.07119054831869132
200,0.047005957790568514
201,0.08558012723417147
202,0.06392002423508028
203,0.05372109461779259
204,0.05377158436837323
205,0.042411390487731
206,0.044330001009795006
207,0.04231041098656972
208,0.11592446733313137
209,0.030899727355346865
210,0.07775421589417349
211,0.08199535494294659
212,0.028425729576895896
213,0.07437140260527113
214,0.08043017267494698
215,0.04448147026153691
216,0.03610017166515198
217,0.09446632333636272
218,0.0886095122690094
219,0.07093809956578816
220,0.040593759466828236
221,0.044380490760375646
222,0.10082803190952237
223,0.04877309906089064
224,0.08214682419468848
225,0.033020296879733416
226,0.11006765626577804
227,0.043673634252246796
228,0.10830051499545591
229,0.03811976168837727
230,0.04640008078360093
231,0.015954761183479757
232,0.05518529738463092
233,0.04655155003534282
234,0.04362314450166617
235,0.04448147026153691
236,0.04463293951327882
237,0.10032313440371604
238,0.04751085529637483
239,0.009996970614965163
240,0.03211148136928204
241,0.07376552559830354
242,0.08053115217610826
243,0.04877309906089064
244,0.1024437039281026
245,0.0774512773906897
246,0.11213773603958398
247,0.08239927294759164
248,0.08027870342320509
249,0.0809350701807533
250,0.053872563869534484
251,0.027365444814702614
252,0.12284156316267798
253,0.08078360092901142
254,0.067252347773402
255,0.08255074219933355
256,0.08335857820862365
257,0.06669696051701506
258,0.10416035544784409
