,Day of Week,Director,Genre,Movie Title,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),Overseas ($mill),Year,Month,Day
count,608,608,608,608,608,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0
unique,6,337,15,608,36,,,,,,,,,,
top,Friday,Steven Spielberg,action,Tomorrowland,Buena Vista Studios,,,,,,,,,,
freq,448,19,236,1,93,,,,,,,,,,
mean,,,,,,545.153125,92.46792763157895,413.46611842105267,6.923848684210528,3.3403782894736844,117.78125,246.33223684210526,2003.9605263157894,7.5493421052631575,15.891447368421053
std,,,,,,438.99656277913914,59.42140690856374,258.61210361302824,0.9258899223991169,0.4540711194711256,23.179121515222768,184.58106931692032,9.091431292790503,3.1013946315111056,8.212261849767874
min,,,,,,202.1,0.6,200.3,3.6,1.49,30.0,46.9,1939.0,1.0,1.0
25%,,,,,,316.95,45.0,246.6,6.375,3.0375,100.0,135.525,1999.0,5.0,9.0
50%,,,,,,425.95,80.0,327.75,6.9,3.365,116.0,189.64999999999998,2006.0,7.0,16.0
75%,,,,,,645.625,130.0,475.5,7.6,3.6725,130.25,283.65,2011.0,11.0,22.25
max,,,,,,6846.7,300.0,2788.0,9.2,4.5,238.0,2027.5,2015.0,12.0,31.0
range,,,,,,6644.599999999999,299.4,2587.7,5.6,3.01,208.0,1980.6,76.0,11.0,30.0
variance,,,,,,,3530.9035989931067,66880.22013515566,0.8572721484002427,0.20618058153776123,537.271674217463,34070.171150177746,82.6541229515304,9.618648660365906,67.44124468915287
mode,,,,,,,150.0,202.0,6.7,3.5,115.0,106.0,2014.0,6.0,25.0
median,,,,,,,80.0,327.75,6.9,3.365,116.0,189.64999999999998,2006.0,7.0,16.0
